API #,Well Name,Lease Name,Location,Operator,Status,Producetion_information,Well_Type,Closest_City
33-053-06024,Chalmers 5300 21-19 11 B ,OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",OASIS PETROLEUM NORTH AMERICA LLC,Active,"109 Barrels of Oil Produced in Jul 2023
2.9 k MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston
33-053-03911,Larrv 5301 44-128 ,,,,,,,
33-053-04069,,,,,,,,
33-053-06026,Kline Federal 5300 41-18 10B ,OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",OASIS PETROLEUM NORTH AMERICA LLC,Active,"338 Barrels of Oil Produced in Jul 2023
1 k MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston
33-053-06051,D Deepened Well ,,,,,,,
33-053-06131,WADE FEDERAL 5300 21-30 13B ,OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",OASIS PETROLEUM NORTH AMERICA LLC,Active,"925 Barrels of Oil Produced in Jul 2023
2.8 k MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston
33-053-90329,Carson SWD 5301 12-24 ,FALCON MIDSTREAM SERVICES LLC,"McKenzie County, ND",FALCON MIDSTREAM SERVICES LLC,Active,,Salt Water Disposal,Williston
33-105-02732,Atlanta 1-6H ,"CONTINENTAL RESOURCES, INC.","Williams County, ND","CONTINENTAL RESOURCES, INC.",Active,"579 Barrels of Oil Produced in Jul 2023
789 MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston
33-053-04855,Cc1lumbus Federal 2-16H ,,,,,,,
33-105-02727,Atlanta Federal 6-6H ,"CONTINENTAL RESOURCES, INC.","Williams County, ND","CONTINENTAL RESOURCES, INC.",Active,"277 Barrels of Oil Produced in Jul 2023
491 MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston
33-053-05995,Wade Federal 5300 31-30 2B ,OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",OASIS PETROLEUM NORTH AMERICA LLC,Active,"730 Barrels of Oil Produced in Jul 2023
2.2 k MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston
33-053-06548,Lewis Federal 5300 11-31 38 ,,,,,,,
0013610,Corps of En ineers 31-10 ,,,,,,,
0013610,Lewis & Clark 2-4H ,,,,,,,
00-20798,DAHL 15-11H ,,,,,,,
33-105-90258,Atlanta #1 SWD ,Chevron U.S.A. Inc.,"Orange County, CA",Chevron U.S.A. Inc.,Plugged,"22 Producing Operators
478 Producing Wells On File
9.1 k Total Wells On File
94.4 k Barrels of Oil Produced
56.9 k MCF of Gas Produced
","1,308","1,458"
33-053-06012,,,,,,,,
33-105-02729,Atlanta 4-6H ,"CONTINENTAL RESOURCES, INC.","Williams County, ND","CONTINENTAL RESOURCES, INC.",Active,"312 Barrels of Oil Produced in Jul 2023
526 MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston
33-053-03911,lnnoko 5301 41-12T ,,,,,,,
33-053-05906,Wade Federal 5300 31-30 11T ,OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",OASIS PETROLEUM NORTH AMERICA LLC,Active,"462 Barrels of Oil Produced in Jul 2023
2.6 k MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston
33-053-04853,Tallahassee 3-16H ,"CONTINENTAL RESOURCES, INC.","McKenzie County, ND","CONTINENTAL RESOURCES, INC.",Active,"474 Barrels of Oil Produced in Jul 2023
698 MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston
33-105-02721,Atlanta 12-6H ,"CONTINENTAL RESOURCES, INC.","Williams County, ND","CONTINENTAL RESOURCES, INC.",Active,"153 Barrels of Oil Produced in Jul 2023
353 MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston
33-053-06022,Chalmers 5300 21-19 10T ,OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",OASIS PETROLEUM NORTH AMERICA LLC,Active,"351 Barrels of Oil Produced in Jul 2023
2.9 k MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston
33-105-02730,Atlanta 3-6H ,"CONTINENTAL RESOURCES, INC.","Williams County, ND","CONTINENTAL RESOURCES, INC.",Active,"477 Barrels of Oil Produced in Jul 2023
688 MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston
33-053-06010,Chalmers 5301 44-24 3BR ,OASIS PETROLEUM NORTH AMERICA LLC,"McKenzie County, ND",OASIS PETROLEUM NORTH AMERICA LLC,Active,"286 Barrels of Oil Produced in Jul 2023
3 k MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston
0013610,Basic Game & Fish 34-3 ,,,,,,,
