API #,Well Name,Operator,Status,Production_Info,Well_Type,Closest_City,State_code,County_code,Well_no,County,State,Well_file_no,stimulation_date,stimulated_formation,top_ft,bottom_ft,stages,volume,volumne_units,treatment_type,acid,lbs_prop,max_psi,bbls_min
33-053-03944,MAGNUM 2-36-25H ,"SLAWSON EXPLORATION COMPANY, INC.",Active,"518 Barrels of Oil Produced in Jul 2023
627 MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston,33,053,03944,McKenzie,ND,22249,N/A,maximum treatment rate (bbls/min) ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8403.0,N/A
33-053-04981,Colville 5301 44-12T ,OASIS PETROLEUM NORTH AMERICA LLC,Active,"730 Barrels of Oil Produced in Jul 2023
2.3 k MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston,33,053,04981,McKenzie,ND,25571,N/A,N/A,8356.0,8356.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33-105-02725,Atlanta Federal 8-6H ,"CONTINENTAL RESOURCES, INC.",Active,"495 Barrels of Oil Produced in Jul 2023
707 MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston,33,105,02725,Williams,ND,23365,N/A,santi frac,7200.0,N/A,N/A,10865.0,N/A,N/A,N/A,N/A,3764730.0,N/A
33-053-05924,(see details ,N/A,N/A,N/A,N/A,N/A,33,053,05924,N/A,N/A,20407,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33-053-06025,KLINE FEDERAL 5300 41-18 9T ,OASIS PETROLEUM NORTH AMERICA LLC,Active,"677 Barrels of Oil Produced in Jul 2023
8.1 k MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston,33,053,06025,McKenzie,ND,28651,N/A,N/A,8380.0,N/A,50.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33-053-90244,BUCK SHOT SWD 5300 31-31 ,FALCON MIDSTREAM SERVICES LLC,Active,N/A,Salt Water Disposal,Williston,33,053,90244,McKenzie,ND,90244,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33-053-06225,Kline Federal 5300 11-18 3T ,OASIS PETROLEUM NORTH AMERICA LLC,Active,"415 Barrels of Oil Produced in Jul 2023
297 MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston,33,053,06225,McKenzie,ND,29244,N/A,N/A,8362.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33-053-06028,Spacing Unit Description ,N/A,N/A,N/A,N/A,N/A,33,053,06028,N/A,N/A,28654,N/A,N/A,8382.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33-053-05943,Wade Federal 5300 41-30 4T ,OASIS PETROLEUM NORTH AMERICA LLC,Active,"41 Barrels of Oil Produced in Jul 2023
400 MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston,33,053,05943,McKenzie,ND,28394,N/A,N/A,8348.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33-053-06755,KLINE FEDERAL 5300 31-18 15T ,OASIS PETROLEUM NORTH AMERICA LLC,Inactive,N/A,Oil & Gas,Williston,33,053,06755,McKenzie,ND,30789,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33-053-04854,Tallahassee 2-16H ,"CONTINENTAL RESOURCES, INC.",Active,"491 Barrels of Oil Produced in Jul 2023
814 MCF of Gas Produced in Jul 2023
",Oil & Gas,Williston,33,053,04854,McKenzie,ND,25158,N/A,N/A,7090.0,N/A,N/A,N/A,N/A,N/A,N/A,7518.0,N/A,N/A
