API #,Well Name_x,Operator Name,County,State,Latitude,Longitude,Well_file_no,stimulation_date,stimulated_formation,top_ft,bottom_ft,stimulation_stages,volume,volume_units,type_treatment,acid,lbs_prop,max_psi,bbls_min
33-053-04854,TALLAHASSEE 2-16H,"CONTINENTAL RESOURCES, INC.",McKenzie County,ND,48.075235,-103.669874,25158,3/14/2014,Bakken,11080,18127,24,56607,Barrels,Sand Frac,N/A,3013084,7518,30.0
33-105-02726,ATLANTA FEDERAL 7-6H,"CONTINENTAL RESOURCES, INC.",Williams County,ND,48.109499,-103.729788,23366,12/13/2013,Middle Bakken,10821,23100,40,62806,Barrels,N/A,N/A,4810703,8461,28.0
33-053-00605,WRRMU 4-28,SM ENERGY COMPANY,McKenzie County,ND,47.346236,-103.55443,28754,07/13/2015,Bakken,18852,20390 |,6,19114,Barrels,Sand Frac,N/A,577940,8860,36.7
33-105-02720,ATLANTA 13-6H,"CONTINENTAL RESOURCES, INC.",Williams County,ND,48.109439,-103.727678,23360,2/5/:!014,Middle Bakken,10850,19185,29,47452,Barrels,N/A,N/A,3069694,7468,26.0
33-053-06243,KLINE FEDERAL 5300 11-18 2B,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.079234,-103.60267,29334,07/16/2015,Bakken,11024,N/A,36,209640,Barrels,Sand Frac,N/A,4168220,9141,73.0
33-053-05998,WADE FEDERAL 5300 41-30 7T,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.041208,-103.603016,28557,04/24/2015,Three Forks,11167,20517,36,134353,Barrels,Sand Frac,N/A,3973130,9218,39.0
33-053-03413,WADE FEDERAL 5300 21-30H,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.047147,-103.6031,20197,Cased Hol,Bakken,N/A,N/A,N/A,N/A,Barrels,N/A,N/A,4440376,N/A,42.3
33-053-06129,WADE FEDERAL 5300 21-30 12T,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.048736,-103.602904,28976,03/16/2015,Three Forks,11078I,20374,50,190732,Barrels,Sand Frac,N/A,9170590,9035,43.0
33-053-04069,MAGNUM 3-36-25H,"SLAWSON EXPLORATION COMPANY, INC.",McKenzie County,ND,48.024944,-103.605166,22731,7I7IZ012,Middle Bakken,11126,21145,[35,40332,Barrels,Sand Frac,N/A,3630945,7548,34.0
33-053-06026,KLINE FEDERAL 5300 41-18 10B,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.068997,-103.602868,28652,06/26/2015,Bakken,11125I,20460,50,192526,Barrels,Sand Frac,N/A,9254340,8844,39.0
33-053-06051,WADE FEDERAL 5300 41-30 9B,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.041027,-103.60302,28744,N/A,Bakken,11552,20265,50,171968,Barrels,Sand Frac,N/A,9289252,9310,37.0
33-053-90329,CARSON SWD 5301 12-24,FALCON MIDSTREAM SERVICES LLC,McKenzie County,ND,48.066082,-103.615308,90329,N/A,N/A,I,N/A,N/A,N/A,Barrels,N/A,N/A,N/A,N/A,N/A
33-053-04855,COLUMBUS FEDERAL 2-16H,"CONTINENTAL RESOURCES, INC.",McKenzie County,ND,48.075342,-103.66978,25159,2/27/2014,Three Forks,10850,23475,43,85599,Barrels,Sand Frac,N/A,3937842,8493,31.0
33-105-02727,ATLANTA FEDERAL 6-6H,"CONTINENTAL RESOURCES, INC.",Williams County,ND,48.109504,-103.729972,23367,11/21/2013,3 Forks,10858,22005,37,64611,Barrels,Sanil Frac,N/A,3841831,8539,24.0
33-053-05995,WADE FEDERAL 5300 31-30 2B,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.042447,-103.603155,28554,04/08/2015,Bakken,11034,20595,50,215747,Barrels,Sand Frac,N/A,9121901,8832,37.0
33-053-06548,LEWIS FEDERAL 5300 11-31 3B,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.035835,-103.603111,30188,06′20′2019,Bakken,N/A,N/A,40,N/A,Barrels,Sand Frac,N/A,6006140,N/A,N/A
33-053-06012,CHALMERS WADE FEDERAL 5301 44-24 12TXR,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.055551,-103.604905,28601,11/25/2014,Three Forks,11418,21025,36,95600,Barrels,Sand Frac,N/A,9370930,9044,37.2
33-105-02729,ATLANTA 4-6H,"CONTINENTAL RESOURCES, INC.",Williams County,ND,48.109535,-103.730975,23369,11/E /2013,3 Forks,10913,20504,31,51878,Barrels,N/A,N/A,3223232,8540,28.0
33-053-05906,WADE FEDERAL 5300 31-30 11T,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.044162,-103.60267,28303,03/29/2015,Three Forks,11080,20453,36,123705,Barrels,Sand Frac,N/A,3976880,8968,39.0
33-053-04853,TALLAHASSEE 3-16H,"CONTINENTAL RESOURCES, INC.",McKenzie County,ND,48.075131,-103.669967,25157,3/14/2014,Three Forks,10830,18434,24,64952,Barrels,Sand Frac,N/A,2829582,8491,31.0
33-105-02721,ATLANTA 12-6H,"CONTINENTAL RESOURCES, INC.",Williams County,ND,48.109444,-103.727862,23361,111 ::/2014,3 Forks,10895,19500,29,53948,Barrels,N/A,N/A,3098438,8528,30.0
33-053-06010,CHALMERS 5301 44-24 3BR,OASIS PETROLEUM NORTH AMERICA LLC,McKenzie County,ND,48.055776,-103.604903,28599,10/30/2014,Bakken,10910,20833,36,206015,Barrels,Sand Frac,N/A,4076819,9177,75.0
